date,wind_speed,wind_direction,wind_speed_quality,wind_obs_type,tempc,atmpres
2016-01-01 00:00:00,10,070,1,N,-0049,10257
2016-01-01 00:00:00,30,340,1,N,-0070,99999
2016-01-01 00:30:00,40,340,1,N,-0040,99999
2016-01-01 01:00:00,30,360,1,N,-0040,99999
2016-01-01 01:30:00,20,350,1,V,-0020,99999
2016-01-01 02:00:00,10,999,9,V,-0010,99999
2016-01-01 02:30:00,20,330,1,V,+0000,99999
2016-01-01 03:00:00,10,020,1,N,+0014,10249
2016-01-01 03:00:00,20,320,1,V,+0010,99999
2016-01-01 03:30:00,30,320,1,V,+0020,99999
2016-01-01 04:00:00,20,320,1,V,+0020,99999
2016-01-01 04:30:00,20,320,1,V,+0030,99999
2016-01-01 05:00:00,10,999,9,V,+0040,99999
2016-01-01 05:30:00,20,300,1,V,+0040,99999
2016-01-01 06:00:00,10,090,1,N,+0049,10210
2016-01-01 06:00:00,10,999,9,V,+0050,99999
2016-01-01 06:30:00,10,999,9,V,+0050,99999
2016-01-01 07:00:00,10,999,9,V,+0050,99999
2016-01-01 07:30:00,10,999,9,V,+0050,99999
2016-01-01 08:00:00,10,999,9,V,+0040,99999
2016-01-01 08:30:00,10,999,9,V,+0030,99999
2016-01-01 09:00:00,10,180,1,N,+0028,10213
2016-01-01 09:00:00,10,080,1,N,+0010,99999
2016-01-01 09:30:00,10,090,1,N,+0000,99999
2016-01-01 10:00:00,10,090,1,N,-0020,99999
2016-01-01 10:30:00,10,999,9,V,-0020,99999
2016-01-01 11:00:00,10,080,1,N,-0030,99999
2016-01-01 11:30:00,10,999,9,V,-0020,99999
2016-01-01 12:00:00,10,180,1,N,-0012,10220
2016-01-01 12:00:00,10,999,9,V,-0030,99999
2016-01-01 12:30:00,10,050,1,N,-0040,99999
2016-01-01 13:00:00,10,070,1,N,-0040,99999
2016-01-01 13:30:00,10,999,9,V,-0030,99999
2016-01-01 14:00:00,0,999,9,C,-0030,99999
2016-01-01 14:30:00,20,010,1,N,-0060,99999
2016-01-01 15:00:00,9999,999,9,C,-0029,10216
2016-01-01 15:00:00,0,999,9,C,-0050,99999
2016-01-01 15:30:00,20,010,1,N,-0060,99999
2016-01-01 16:00:00,10,360,1,N,-0050,99999
2016-01-01 16:30:00,10,020,1,N,-0050,99999
2016-01-01 17:00:00,10,999,9,V,-0040,99999
2016-01-01 17:30:00,20,350,1,N,-0060,99999
2016-01-01 18:00:00,10,040,1,N,-0040,10212
